time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource                                                                                                   
2009-03-25T07:39:35.710Z,33.2956667,-115.7063333,6.523,1.48,ml,37,39,0.06111,0.26,ci,ci14434664,2016-03-09T00:21:06.554Z,"6km SSE of Bombay Beach, CA",earthquake,0.38,1.6,0.106,60,reviewed,ci,ci                                                                
2009-03-25T07:16:12.180Z,33.3001667,-115.7085,7.313,1.61,ml,31,44,0.05627,0.27,ci,ci14434656,2016-03-09T10:16:45.026Z,"6km SSE of Bombay Beach, CA",earthquake,0.42,1.71,0.204,49,reviewed,ci,ci                                                                  
2009-03-25T07:08:22.190Z,33.3041667,-115.7466667,4.453,1.63,ml,22,59,0.04961,0.24,ci,ci10113042,2016-03-08T22:55:42.918Z,"5km SSW of Bombay Beach, CA",earthquake,0.39,0.66,0.083,33,reviewed,ci,ci                                                               
2009-03-25T07:07:59.230Z,33.3006667,-115.7228333,4.603,2.18,ml,65,36,0.05254,0.22,ci,ci14434648,2016-03-08T19:48:02.705Z,"6km S of Bombay Beach, CA",earthquake,0.25,0.46,0.17,105,reviewed,ci,ci                                                                 
2009-03-25T07:06:42.030Z,33.2896667,-115.7148333,4.183,1.63,ml,26,67,0.06465,0.22,ci,ci10112962,2016-03-09T06:00:13.718Z,"7km SSE of Bombay Beach, CA",earthquake,0.54,0.88,0.108,45,reviewed,ci,ci                                                               
2009-03-25T07:06:34.970Z,33.2931667,-115.7055,6.733,1.32,ml,24,72,0.06368,0.21,ci,ci14434640,2016-03-08T22:55:41.626Z,"7km SSE of Bombay Beach, CA",earthquake,0.5,1.99,0.215,8,reviewed,ci,ci                                                                    
2009-03-25T06:51:39.970Z,33.2888333,-115.7115,4.934,1.77,ml,42,55,0.06617,0.23,ci,ci14434624,2016-03-09T00:21:04.658Z,"7km SSE of Bombay Beach, CA",earthquake,0.4,0.67,0.106,77,reviewed,ci,ci                                                                   
2009-03-25T06:41:35.750Z,33.2931667,-115.7083333,3.293,1.74,ml,35,41,0.06286,0.32,ci,ci14434608,2016-03-09T07:28:33.515Z,"7km SSE of Bombay Beach, CA",earthquake,0.42,0.82,0.119,61,reviewed,ci,ci                                                               
2009-03-25T06:34:00.170Z,33.2926667,-115.7185,4.623,2.21,ml,61,38,0.06105,0.25,ci,ci14434600,2016-03-09T17:06:31.645Z,"6km SSE of Bombay Beach, CA",earthquake,0.31,0.6,0.155,98,reviewed,ci,ci                                                                   
2009-03-25T06:28:31.950Z,33.2943333,-115.7155,5.913,1.49,ml,26,68,0.06,0.25,ci,ci14434592,2016-03-09T00:21:03.096Z,"6km SSE of Bombay Beach, CA",earthquake,0.39,2.56,0.221,40,reviewed,ci,ci                                                                     
2009-03-25T06:21:56.600Z,33.294,-115.7141667,7.163,1.35,ml,29,41,0.06061,0.22,ci,ci14434576,2016-03-09T15:11:50.998Z,"6km SSE of Bombay Beach, CA",earthquake,0.43,1.93,0.096,46,reviewed,ci,ci                                                                   
2009-03-25T06:12:44.340Z,33.296,-115.7035,9.323,1.65,ml,39,44,0.06172,0.24,ci,ci14434568,2016-03-08T22:55:40.156Z,"7km SSE of Bombay Beach, CA",earthquake,0.36,1.23,0.105,58,reviewed,ci,ci                                                                      
2009-03-25T06:10:45.940Z,33.2925,-115.7076667,9.283,1.61,ml,36,41,0.06367,0.26,ci,ci14434552,2016-03-08T22:55:38.486Z,"7km SSE of Bombay Beach, CA",earthquake,0.37,1.29,0.161,61,reviewed,ci,ci                                                                  
2009-03-25T06:09:53.300Z,33.2956667,-115.7061667,9.483,0.94,ml,15,72,0.06116,0.18,ci,ci14434560,2016-03-08T19:48:00.828Z,"6km SSE of Bombay Beach, CA",earthquake,0.74,2.36,0.103,8,reviewed,ci,ci                                                                
